GEONAME,LNTITLE,GEOID,TOT_EST,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE,ID,totalvotes,TURNOUT,,
"Dallam County, Texas",Total,05000US48111,7050,4845,50,6285,220,4185,175,48111,1544,0.368936679,,
"Kings County, California",Total,05000US06031,150260,108930,,131765,1270,91830,1103,06031,33915,0.36932375,,
"Karnes County, Texas",Total,05000US48255,14985,11920,110,14330,411,11355,306,48255,4198,0.369704976,,
"Jackson County, Arkansas",Total,05000US05067,17495,13950,14,17430,55,13885,55,05067,5156,0.371335974,,
"Riley County, Kansas",Total,05000US20161,75025,61800,65,70740,581,57700,553,20161,21532,0.373171577,,
"Potter County, Texas",Total,05000US48375,121885,88210,20,108400,793,76505,664,48375,28651,0.374498399,,
"Lanier County, Georgia",Total,05000US13173,10380,7700,21,10290,81,7615,74,13173,2871,0.377019041,,
"Dawson County, Texas",Total,05000US48115,13315,10080,31,12590,166,9415,155,48115,3563,0.378438662,,
"Holmes County, Ohio",Total,05000US39075,43700,29285,72,43600,54,29200,84,39075,11054,0.378561644,,
"Childress County, Texas",Total,05000US48075,7060,5630,169,6865,106,5455,200,48075,2084,0.38203483,,
"LaGrange County, Indiana",Total,05000US18087,38395,25510,69,37870,111,24985,135,18087,9566,0.382869722,,
"McDowell County, West Virginia",Total,05000US54047,20275,16430,106,20045,77,16200,108,54047,6203,0.382901235,,
"Anderson County, Texas",Total,05000US48001,57770,46580,23,55210,460,44200,411,48001,16977,0.384095023,,
"Hale County, Texas",Total,05000US48189,35005,25205,29,32635,413,23055,362,48189,8858,0.384211668,,
"Ector County, Texas",Total,05000US48135,153175,107505,,139460,1252,94895,1028,48135,36530,0.384951789,,
"Lee County, Arkansas",Total,05000US05077,9780,7850,,9765,21,7835,21,05077,3026,0.386215699,,
"Morgan County, Tennessee",Total,05000US47129,21690,17400,107,21605,41,17320,105,47129,6705,0.387124711,,
"Buffalo County, South Dakota",Total,05000US46017,2050,1265,61,2050,9,1265,61,46017,490,0.387351779,,
"Greer County, Oklahoma",Total,05000US40055,6080,4910,20,6060,24,4890,31,40055,1896,0.387730061,,
"Lexington city, Virginia",Total,05000US51678,7035,6450,134,6895,78,6335,154,51678,2465,0.389108129,,
"Pulaski County, Georgia",Total,05000US13235,11460,9355,326,11365,79,9260,340,13235,3605,0.389308855,,
"Rolette County, North Dakota",Total,05000US38079,14605,9660,25,14585,22,9640,31,38079,3755,0.389522822,,
"Reeves County, Texas",Total,05000US48389,14440,11160,107,11405,372,8170,384,48389,3184,0.389718482,,
"Pershing County, Nevada",Total,05000US32027,6690,5525,66,6225,143,5080,153,32027,1982,0.39015748,,
"La Paz County, Arizona",Total,05000US04012,20305,16790,28,18630,322,15245,289,04012,5951,0.390357494,,
"Curry County, New Mexico",Total,05000US35009,50545,36945,47,47640,468,34235,460,35009,13370,0.390536001,,
"Lauderdale County, Tennessee",Total,05000US47097,27260,20950,50,26960,88,20695,79,47097,8087,0.390770718,,
"Wichita County, Texas",Total,05000US48485,132150,102370,133,126605,631,97430,536,48485,38119,0.391244996,,
"Madison County, Texas",Total,05000US48313,13845,11770,363,12940,272,10930,540,48313,4289,0.392406221,,
"Campbell County, Tennessee",Total,05000US47013,40010,31775,38,39960,37,31725,53,47013,12532,0.395019701,,
"Macon County, Georgia",Total,05000US13193,13845,11050,51,13645,113,10845,135,13193,4287,0.395297372,,
"Terry County, Texas",Total,05000US48445,12725,9280,20,11795,245,8440,220,48445,3355,0.397511848,,
"Pecos County, Texas",Total,05000US48371,15825,11955,68,14345,300,10515,282,48371,4185,0.398002853,,
"Winkler County, Texas",Total,05000US48495,7725,5410,20,6980,159,4700,152,48495,1876,0.399148936,,
"Deaf Smith County, Texas",Total,05000US48117,19040,12985,47,16535,418,10550,403,48117,4216,0.399620853,,
"Martin County, Kentucky",Total,05000US21159,12480,9880,,12445,52,9845,52,21159,3953,0.401523616,,
"Calhoun County, Georgia",Total,05000US13037,6445,5225,40,6255,80,5035,76,13037,2025,0.402184707,,
"Falls County, Texas",Total,05000US48145,17265,13585,,16635,173,12975,155,48145,5248,0.404470135,,
"Radford city, Virginia",Total,05000US51750,17185,15235,110,16970,122,15020,172,51750,6085,0.405126498,,
"Honolulu County, Hawaii",Total,05000US15003,987000,773790,,906770,2213,701490,1826,15003,285790,0.40740424,,
"Swisher County, Texas",Total,05000US48437,7640,5680,,7365,118,5405,117,48437,2204,0.407770583,,
"Adair County, Oklahoma",Total,05000US40001,22160,16220,25,21830,89,15910,80,40001,6513,0.409365179,,
"Clay County, Kentucky",Total,05000US21051,21160,16675,99,21010,74,16520,147,21051,6767,0.409624697,,
"Starr County, Texas",Total,05000US48427,63010,41995,,48500,828,28650,686,48427,11740,0.409773124,,
"Crosby County, Texas",Total,05000US48107,5985,4340,,5845,45,4200,45,48107,1728,0.411428571,,
"Bryan County, Oklahoma",Total,05000US40013,44530,34100,,43910,132,33550,115,40013,13818,0.411862891,,
"Cameron County, Texas",Total,05000US48061,418785,286190,25,350190,2329,222775,1993,48061,92079,0.413327348,,
"Cibola County, New Mexico",Total,05000US35006,27375,20705,42,26035,425,19435,393,35006,8063,0.41487008,,
"Bent County, Colorado",Total,05000US08011,5815,4895,,5555,82,4640,76,08011,1927,0.415301724,,
"Reagan County, Texas",Total,05000US48383,3625,2620,74,3145,166,2175,139,48383,904,0.415632184,,
"Mississippi County, Arkansas",Total,05000US05093,44200,32260,84,43615,181,31765,163,05093,13204,0.415677633,,
"Hickman County, Tennessee",Total,05000US47081,24250,18995,115,24050,125,18795,175,47081,7813,0.415695664,,
"La Salle County, Texas",Total,05000US48283,7320,5495,405,6770,288,4945,433,48283,2059,0.416380182,,
"Lassen County, California",Total,05000US06035,31945,26685,75,30525,179,25265,199,06035,10524,0.416544627,,
"Nueces County, Texas",Total,05000US48355,355665,265735,110,338400,1365,250080,1291,48355,104405,0.417486404,,
"Brown County, Illinois",Total,05000US17009,6835,5790,,6740,56,5695,56,17009,2379,0.417734855,,
"Atascosa County, Texas",Total,05000US48013,47710,34310,69,45980,408,32690,395,48013,13673,0.418262466,,
"McCreary County, Kentucky",Total,05000US21147,17850,13850,237,17795,65,13800,253,21147,5776,0.418550725,,
"Kleberg County, Texas",Total,05000US48273,31875,24070,111,30470,486,22715,485,48273,9512,0.418754127,,
"Bell County, Texas",Total,05000US48027,330860,238510,,317600,1257,226310,1184,48027,94994,0.419751668,,
"Bledsoe County, Tennessee",Total,05000US47007,14075,11220,142,13920,41,11105,138,47007,4664,0.419990995,,
"Hughes County, Oklahoma",Total,05000US40063,13725,10815,101,13655,32,10745,105,40063,4526,0.421219172,,
"Doddridge County, West Virginia",Total,05000US54017,8365,6780,58,8315,34,6735,71,54017,2840,0.421677803,,
"Christian County, Kentucky",Total,05000US21047,73935,53315,51,72875,249,52335,231,21047,22083,0.421954715,,
"Onslow County, North Carolina",Total,05000US37133,185755,138530,72,182415,649,135385,588,37133,57135,0.422018687,,
"Franklin County, New York",Total,05000US36033,51005,40910,,50115,172,40155,133,36033,16952,0.422164114,,
"Ziebach County, South Dakota",Total,05000US46137,2820,1830,,2805,13,1815,16,46137,767,0.422589532,,
"Wilcox County, Georgia",Total,05000US13315,8885,7220,60,8700,70,7035,63,13315,2976,0.423027719,,
"Webster County, West Virginia",Total,05000US54101,8820,7030,,8820,16,7030,7,54101,2978,0.423613087,,
"Claiborne County, Tennessee",Total,05000US47025,31700,25580,63,31470,89,25350,108,47025,10740,0.423668639,,
"Poinsett County, Arkansas",Total,05000US05111,24130,18385,,23950,99,18205,98,05111,7722,0.424169184,,
"Lincoln County, West Virginia",Total,05000US54043,21480,16645,96,21475,13,16640,93,54043,7066,0.424639423,,
"McKinley County, New Mexico",Total,05000US35031,74345,51705,72,73640,227,51040,224,35031,21703,0.425215517,,
"Union County, Tennessee",Total,05000US47173,19080,14795,24,18970,91,14690,95,47173,6247,0.425255276,,
"Okfuskee County, Oklahoma",Total,05000US40107,12210,9325,,12145,42,9270,35,40107,3943,0.425350593,,
"Wilbarger County, Texas",Total,05000US48487,13060,9975,,12705,174,9650,156,48487,4105,0.425388601,,
"Charlton County, Georgia",Total,05000US13049,12970,10450,28,11890,159,9395,152,13049,4016,0.427461416,,
"Clay County, West Virginia",Total,05000US54015,9035,6975,37,9010,35,6950,52,54015,2972,0.427625899,,
"Jackson County, Oklahoma",Total,05000US40065,25865,19210,,24800,251,18240,226,40065,7806,0.427960526,,
"Wayne County, Tennessee",Total,05000US47181,16840,13800,19,16730,49,13685,44,47181,5857,0.427986847,,
"Scurry County, Texas",Total,05000US48415,17315,12855,56,16810,184,12350,186,48415,5289,0.428259109,,
"Montgomery County, Tennessee",Total,05000US47125,189710,138265,,185230,626,134390,542,47125,57620,0.428752139,,
"Seminole County, Oklahoma",Total,05000US40133,25405,18955,19,25185,64,18745,64,40133,8037,0.428754334,,
"Scott County, Tennessee",Total,05000US47151,22030,16620,66,22005,22,16595,66,47151,7123,0.42922567,,
"Hancock County, Tennessee",Total,05000US47067,6610,5240,37,6555,60,5185,49,47067,2231,0.430279653,,
"Dodge County, Georgia",Total,05000US13091,20995,16585,21,20680,165,16285,158,13091,7009,0.43039607,,
"Fayette County, West Virginia",Total,05000US54019,45190,35790,50,45025,63,35625,82,54019,15337,0.430512281,,
"Robeson County, North Carolina",Total,05000US37155,134575,99650,28,129435,365,94865,306,37155,40858,0.430696253,,
"Cabell County, West Virginia",Total,05000US54011,96625,77380,67,95875,165,76665,170,54011,33085,0.43155286,,
"Corson County, South Dakota",Total,05000US46031,4170,2725,,4160,16,2715,14,46031,1175,0.432780847,,
"Zavala County, Texas",Total,05000US48507,12105,8420,,11520,168,7845,166,48507,3396,0.432887189,,
"Parmer County, Texas",Total,05000US48369,9920,6995,24,8460,253,5690,236,48369,2466,0.433391916,,
"Harrison County, Mississippi",Total,05000US28047,198570,150235,,193990,596,145875,559,28047,63313,0.434022279,,
"Menominee County, Wisconsin",Total,05000US55078,4455,2990,19,4375,97,2945,54,55078,1279,0.434295416,,
"Lawrence County, Arkansas",Total,05000US05075,16915,13155,42,16835,43,13080,56,05075,5685,0.434633028,,
"Lea County, New Mexico",Total,05000US35025,68930,48130,69,60810,765,40750,645,35025,17712,0.434650307,,
"Caldwell County, Texas",Total,05000US48055,39850,30160,35,37360,504,27810,493,48055,12092,0.434807623,,
"Greene County, Tennessee",Total,05000US47059,68500,54820,105,67850,198,54225,147,47059,23583,0.434910097,,
"Chattooga County, Georgia",Total,05000US13055,25045,19495,107,24435,127,18950,158,13055,8252,0.435461741,,
"Clay County, Arkansas",Total,05000US05021,15200,11995,10,15150,40,11940,40,05021,5200,0.435510888,,
"Monongalia County, West Virginia",Total,05000US54061,102825,86165,54,99060,707,82710,667,54061,36048,0.435836054,,
"Glades County, Florida",Total,05000US12043,13420,11180,,12190,297,9980,296,12043,4353,0.436172345,,
"Cocke County, Tennessee",Total,05000US47029,35255,27950,53,35090,98,27790,117,47029,12126,0.436344009,,
"Hardee County, Florida",Total,05000US12049,27300,19935,30,24595,554,17345,516,12049,7583,0.437186509,,
"Jim Wells County, Texas",Total,05000US48249,41485,29715,96,39940,430,28300,392,48249,12379,0.437420495,,
"Calhoun County, West Virginia",Total,05000US54013,7480,6020,18,7445,37,5980,37,54013,2617,0.437625418,,
"DeKalb County, Missouri",Total,05000US29063,12705,10550,11,12630,34,10485,35,29063,4594,0.438149738,,
"Yell County, Arkansas",Total,05000US05149,21715,16300,81,19905,239,14670,217,05149,6439,0.438922972,,
"Jefferson County, New York",Total,05000US36045,117965,88765,22,116020,384,87030,330,36045,38236,0.439342755,,
"DeWitt County, Texas",Total,05000US48123,20660,16025,,20180,192,15560,189,48123,6844,0.439845758,,
"Yuma County, Arizona",Total,05000US04027,203290,150065,,171445,1439,120510,1263,04027,53010,0.439880508,,
"Hidalgo County, Texas",Total,05000US48215,828335,548905,87,658375,3664,394035,3028,48215,173437,0.440156331,,
"Arkansas County, Arkansas",Total,05000US05001,18570,14275,37,18395,78,14105,79,05001,6212,0.440411202,,
"Caddo County, Oklahoma",Total,05000US40015,29510,22020,25,28685,187,21210,192,40015,9348,0.440735502,,
"Crisp County, Georgia",Total,05000US13081,23060,17360,38,22675,223,17040,165,13081,7512,0.44084507,,
"Braxton County, West Virginia",Total,05000US54007,14465,11545,47,14455,14,11535,51,54007,5090,0.441265713,,
"Webb County, Texas",Total,05000US48479,266005,175145,40,215700,2086,128840,1743,48479,56905,0.441671841,,
"Wyoming County, West Virginia",Total,05000US54109,22535,17730,,22535,21,17730,8,54109,7831,0.441680767,,
"Summers County, West Virginia",Total,05000US54089,13325,11005,38,13310,21,10995,44,54089,4862,0.442201,,
"Dimmit County, Texas",Total,05000US48127,10840,7595,,10535,144,7290,144,48127,3225,0.442386831,,
"Vernon Parish, Louisiana",Total,05000US22115,52100,38240,21,51355,172,37595,139,22115,16633,0.442425855,,
"Bulloch County, Georgia",Total,05000US13031,73140,58655,62,71625,343,57220,318,13031,25316,0.442432716,,
"El Paso County, Texas",Total,05000US48141,833590,596620,,712665,3452,483505,3011,48141,214008,0.442617967,,
"Norfolk city, Virginia",Total,05000US51710,245725,196025,,237105,778,188110,694,51710,83388,0.443293817,,
"Morgan County, Kentucky",Total,05000US21175,13380,10830,47,13320,37,10770,53,21175,4775,0.443361188,,
"Nolan County, Texas",Total,05000US48353,15015,11225,107,14690,130,10950,161,48353,4857,0.443561644,,
"McCurtain County, Oklahoma",Total,05000US40089,33070,24630,29,32610,99,24170,98,40089,10726,0.443773273,,
"Logan County, West Virginia",Total,05000US54045,35165,27900,25,35085,68,27820,74,54045,12359,0.444248742,,
"Lamb County, Texas",Total,05000US48279,13560,9725,22,12760,168,8990,152,48279,3995,0.444382647,,
"Baldwin County, Georgia",Total,05000US13009,45810,36925,92,45055,258,36225,270,13009,16116,0.444886128,,
"Greene County, Arkansas",Total,05000US05055,43745,33025,150,43485,123,32795,167,05055,14600,0.445189816,,
"Ford County, Kansas",Total,05000US20057,34490,23895,79,27315,679,17330,584,20057,7718,0.445354876,,
"Ward County, Texas",Total,05000US48475,11395,8245,77,10790,218,7735,176,48475,3445,0.445378151,,
"Liberty County, Texas",Total,05000US48291,78600,58800,90,73975,532,54480,503,48291,24267,0.445429515,,
"Beckham County, Oklahoma",Total,05000US40009,23290,17395,34,22840,186,16950,186,40009,7552,0.445545723,,
"Roosevelt County, New Mexico",Total,05000US35041,19620,14700,96,18060,373,13350,343,35041,5950,0.445692884,,
"Macon County, Tennessee",Total,05000US47111,22925,17270,,22475,100,16825,100,47111,7504,0.446002972,,
"Seward County, Kansas",Total,05000US20175,23185,15860,,18210,504,11295,452,20175,5038,0.44603807,,
"Russell County, Alabama",Total,05000US01113,58635,43915,30,57810,319,43135,301,01113,19256,0.446412426,,
"Clay County, South Dakota",Total,05000US46027,14030,11655,83,13690,124,11350,112,46027,5069,0.44660793,,
"Isabella County, Michigan",Total,05000US26073,70575,58280,,68920,273,56815,281,26073,25392,0.446924228,,
"Haskell County, Texas",Total,05000US48207,5810,4940,147,4830,343,3960,213,48207,1770,0.446969697,,
"Sioux County, North Dakota",Total,05000US38085,4430,2770,25,4415,19,2755,30,38085,1232,0.447186933,,
"Gaines County, Texas",Total,05000US48165,19485,12625,72,16605,530,10330,371,48165,4620,0.447241045,,
"Scott County, Arkansas",Total,05000US05127,10660,8085,35,10420,106,7845,111,05127,3510,0.447418738,,
"Jenkins County, Georgia",Total,05000US13165,9055,6965,291,8920,103,6830,295,13165,3056,0.447437775,,
"Otero County, New Mexico",Total,05000US35035,65335,49755,,59985,825,44810,712,35035,20060,0.447667931,,
"Hardeman County, Tennessee",Total,05000US47069,25975,20805,69,25825,57,20670,95,47069,9273,0.44862119,,
"Castro County, Texas",Total,05000US48069,7875,5500,,6760,248,4450,235,48069,1997,0.448764045,,
"Bell County, Kentucky",Total,05000US21013,27675,21700,36,27600,80,21640,64,21013,9718,0.449075786,,
"Weakley County, Tennessee",Total,05000US47183,34025,27340,29,33785,112,27100,116,47183,12184,0.449594096,,
"Benson County, North Dakota",Total,05000US38005,6800,4485,31,6785,20,4465,27,38005,2011,0.450391937,,
"Tom Green County, Texas",Total,05000US48451,116265,88930,38,112445,615,85430,548,48451,38479,0.450415545,,
"Lowndes County, Georgia",Total,05000US13185,113900,86720,47,110825,478,83885,431,13185,37805,0.450676521,,
"Rhea County, Tennessee",Total,05000US47143,32460,25005,23,31900,162,24540,120,47143,11062,0.450774246,,
"Johnson County, Tennessee",Total,05000US47091,17925,14755,21,17755,69,14590,73,47091,6579,0.450925291,,
"Ottawa County, Oklahoma",Total,05000US40115,32020,24075,,31600,62,23690,53,40115,10690,0.451245251,,
"Barbour County, West Virginia",Total,05000US54001,16890,13440,59,16865,25,13410,63,54001,6054,0.451454139,,
"Hartley County, Texas",Total,05000US48205,5965,4680,,5560,119,4310,114,48205,1952,0.452900232,,
"Sevier County, Arkansas",Total,05000US05133,17195,12210,22,14770,236,10065,197,05133,4562,0.45325385,,
"Coffee County, Georgia",Total,05000US13069,43040,32320,60,41345,327,30690,325,13069,13915,0.453405018,,
"Grainger County, Tennessee",Total,05000US47057,22815,17970,44,22500,72,17655,79,47057,8008,0.453582555,,
"Del Norte County, California",Total,05000US06015,27630,21775,,26895,154,21065,147,06015,9558,0.453738429,,
"St. Lawrence County, New York",Total,05000US36089,111530,88595,,109065,353,86265,344,36089,39158,0.453926853,,
"Crittenden County, Arkansas",Total,05000US05035,49510,35620,54,48975,153,35100,152,05035,15952,0.454472934,,
"Grundy County, Tennessee",Total,05000US47061,13495,10530,,13445,51,10475,51,47061,4763,0.454701671,,
"Hockley County, Texas",Total,05000US48219,23375,17175,,22100,327,16045,269,48219,7311,0.455655968,,
"West Feliciana Parish, Louisiana",Total,05000US22125,15385,12770,52,15335,35,12720,49,22125,5799,0.455896226,,
"Hamblen County, Tennessee",Total,05000US47063,63205,48485,68,59945,270,45365,266,47063,20692,0.456122561,,
"Murray County, Georgia",Total,05000US13213,39360,29325,44,37225,391,27310,350,13213,12458,0.456169901,,
"Cherokee County, Oklahoma",Total,05000US40021,48265,37160,51,47220,227,36140,210,40021,16490,0.456281129,,
"Greensville County, Virginia",Total,05000US51081,11700,9770,,11485,138,9560,138,51081,4363,0.456380753,,
"Brazos County, Texas",Total,05000US48041,209895,166745,,188800,1274,147180,1189,48041,67211,0.456658513,,
"Tulare County, California",Total,05000US06107,455770,311825,85,384470,2146,245640,1938,06107,112334,0.457311513,,
"Hawaii County, Hawaii",Total,05000US15001,193680,150895,,183280,1140,141755,931,15001,64867,0.457599379,,
"Hot Spring County, Arkansas",Total,05000US05059,33440,26305,28,33225,93,26090,98,05059,11944,0.457799923,,
"Elliott County, Kentucky",Total,05000US21063,7660,6240,,7655,10,6235,11,21063,2855,0.457898957,,
"Maui County, Hawaii",Total,05000US15009,162455,125980,20,148575,1298,113440,1039,15009,51945,0.457907264,,
"Drew County, Arkansas",Total,05000US05043,18690,14500,60,18560,58,14380,93,05043,6595,0.458623088,,
"Sunflower County, Mississippi",Total,05000US28133,27425,20975,,27365,49,20925,46,28133,9598,0.458685783,,
"Walker County, Georgia",Total,05000US13295,68145,52695,36,67560,190,52215,164,13295,23956,0.458795365,,
"Colquitt County, Georgia",Total,05000US13071,46000,33630,111,41825,403,29675,366,13071,13624,0.459106992,,
"Ware County, Georgia",Total,05000US13299,35670,27225,60,34900,164,26515,164,13299,12184,0.459513483,,
"Payne County, Oklahoma",Total,05000US40119,79955,64475,,75730,362,60405,344,40119,27760,0.459564606,,
"Knott County, Kentucky",Total,05000US21119,15885,12565,17,15835,45,12530,33,21119,5763,0.459936153,,
"DeSoto County, Florida",Total,05000US12027,35135,27845,47,30610,499,23515,472,12027,10818,0.460046779,,
"Bradley County, Arkansas",Total,05000US05011,11095,8490,,10460,115,7935,97,05011,3653,0.460365469,,
"Erath County, Texas",Total,05000US48143,40640,32040,94,38680,334,30175,313,48143,13893,0.46041425,,
"Rowan County, Kentucky",Total,05000US21205,24300,19700,,23820,217,19215,218,21205,8848,0.460473588,,
"Brantley County, Georgia",Total,05000US13025,18405,13715,79,18335,54,13650,86,13025,6301,0.461611722,,
"Lubbock County, Texas",Total,05000US48303,294680,223600,51,284805,1062,214480,941,48303,99013,0.461642111,,
"Randolph County, West Virginia",Total,05000US54083,29285,23645,116,29195,52,23555,114,54083,10876,0.461727871,,
"White County, Arkansas",Total,05000US05145,78825,60210,131,77435,336,58925,298,05145,27219,0.461926177,,
"Oktibbeha County, Mississippi",Total,05000US28105,49425,40735,50,47845,350,39210,347,28105,18124,0.462229023,,
"Nicholas County, West Virginia",Total,05000US54067,25745,20565,78,25665,97,20520,129,54067,9491,0.462524366,,
"Meigs County, Tennessee",Total,05000US47121,11805,9340,,11805,19,9340,14,47121,4320,0.462526767,,
"Bailey County, Texas",Total,05000US48017,7130,4985,124,5920,405,3875,359,48017,1793,0.462709677,,
"Buena Vista city, Virginia",Total,05000US51530,6610,5225,88,6575,41,5200,91,51530,2407,0.462884615,,
"Calhoun County, Texas",Total,05000US48057,21805,16245,25,20455,326,15040,288,48057,6965,0.463098404,,
"Hampshire County, West Virginia",Total,05000US54027,23455,18640,90,23395,52,18580,100,54027,8608,0.463293864,,
"Roane County, West Virginia",Total,05000US54087,14515,11325,36,14500,23,11320,38,54087,5247,0.463515901,,
"Carter County, Tennessee",Total,05000US47019,56705,45720,78,56450,122,45460,134,47019,21084,0.463792345,,
"Jefferson County, Tennessee",Total,05000US47089,52850,41895,63,51920,227,41095,190,47089,19072,0.464095389,,
"McMinn County, Tennessee",Total,05000US47107,52605,41205,53,51630,295,40405,244,47107,18755,0.464175226,,
"Harrisonburg city, Virginia",Total,05000US51660,51980,43750,,46240,658,38750,503,51660,17993,0.464335484,,
"Emanuel County, Georgia",Total,05000US13107,22725,17045,,22580,105,16910,103,13107,7860,0.46481372,,
"Sequoyah County, Oklahoma",Total,05000US40135,41345,31480,,40910,83,31055,84,40135,14437,0.464884882,,
"McLennan County, Texas",Total,05000US48309,243395,182900,110,229195,1063,169985,883,48309,79075,0.465188105,,
"Lawrence County, Illinois",Total,05000US17101,16580,13425,,16235,158,13090,151,17101,6094,0.465546218,,
"Pinal County, Arizona",Total,05000US04021,397605,301215,,373460,1829,278220,1648,04021,129546,0.465624326,,
"Taylor County, Texas",Total,05000US48441,135235,102015,,131055,557,98230,460,48441,45759,0.465835285,,
"Whitman County, Washington",Total,05000US53075,47495,40315,,44120,427,37145,375,53075,17305,0.465876969,,
"Hempstead County, Arkansas",Total,05000US05057,22210,16350,22,20915,210,15120,207,05057,7049,0.466203704,,
"Mitchell County, Georgia",Total,05000US13205,22780,17345,,22270,132,16900,143,13205,7880,0.466272189,,
"Dewey County, South Dakota",Total,05000US46041,5650,3665,,5645,10,3660,14,46041,1708,0.466666667,,
"Houston County, Texas",Total,05000US48225,22800,18415,33,22275,160,17885,161,48225,8353,0.467039419,,
"Warren County, Tennessee",Total,05000US47177,40100,30545,,38630,188,29145,167,47177,13612,0.46704409,,
"Hawkins County, Tennessee",Total,05000US47073,56565,44655,34,56250,116,44335,109,47073,20774,0.468568851,,
"Preston County, West Virginia",Total,05000US54077,33795,27215,,33585,88,27010,87,54077,12659,0.468678267,,
"Dunklin County, Missouri",Total,05000US29069,31270,23165,51,30620,114,22565,99,29069,10578,0.468779083,,
"Perry County, Tennessee",Total,05000US47135,7890,6115,87,7865,29,6090,83,47135,2855,0.468801314,,
"Muskogee County, Oklahoma",Total,05000US40101,69940,52780,,68670,227,51575,225,40101,24216,0.469529811,,
"San Patricio County, Texas",Total,05000US48409,66705,48495,35,64145,466,46100,443,48409,21656,0.469761388,,
"Gray County, Texas",Total,05000US48179,23030,17195,40,21520,249,15755,236,48179,7405,0.470009521,,
"Lafayette County, Mississippi",Total,05000US28071,52195,42740,,51160,279,41790,254,28071,19643,0.47004068,,
"Carroll County, Tennessee",Total,05000US47017,28415,22355,22,28150,146,22090,149,47017,10384,0.470076958,,
"Chaves County, New Mexico",Total,05000US35005,65610,47825,132,60280,512,43120,452,35005,20271,0.470106679,,
"Pemiscot County, Missouri",Total,05000US29155,17600,12910,11,17500,57,12815,53,29155,6027,0.470308233,,
"Dyer County, Tennessee",Total,05000US47045,37970,28775,20,37485,157,28355,126,47045,13336,0.470322694,,
"Le Flore County, Oklahoma",Total,05000US40079,49885,37890,,48510,121,36610,115,40079,17221,0.470390604,,
"Lee County, Virginia",Total,05000US51105,24910,20205,147,24670,107,19965,119,51105,9399,0.470773854,,
"Randolph County, Arkansas",Total,05000US05121,17585,13620,52,17510,62,13545,74,05121,6379,0.47094869,,
"Wayne County, West Virginia",Total,05000US54099,41235,32315,167,41140,43,32220,176,54099,15182,0.471198014,,
"Berrien County, Georgia",Total,05000US13019,18985,14355,23,18580,104,13985,102,13019,6590,0.471219163,,
